Album Name,Artists,Release Date,Popularity,Image URL
Pera Apo Tis Polis Tis Asfaltou,Xilina Spathia,1995-01-15,35,https://i.scdn.co/image/ab67616d0000b273785a6af2da9b8d96ac4dde0e
The Whole Story,Kate Bush,1986-11-10,0,https://i.scdn.co/image/ab67616d0000b273a8a3f129a6faaa03823fb2ce
The Sensual World,Kate Bush,1989,0,https://i.scdn.co/image/ab67616d0000b273880759ab68485eceddc5b1ac
Slow Bones (Cool Cats Mix),"Tony Allen, Hugh Masekela",2021-09-07,0,https://i.scdn.co/image/ab67616d0000b273480ea6490c1a4b70c21f5290
Heimerinoi Kolymvites,Heimerinoi Kolymvites,1981,25,https://i.scdn.co/image/ab67616d0000b273fc89e10634719b0fd4d64712
Ayto to Ploio Poy Olo Ftanei,"Pavlos Pavlidis, B-movies",2010-05-03,0,https://i.scdn.co/image/ab67616d0000b2730c51684d3a54aa08d30026b7
Floga,"Estoudiantina, Orhistra laikon organon Odissou, Babis Tsertos",2007-09-26,1,https://i.scdn.co/image/ab67616d0000b2737cab38c48ffe21f5f46feb30
Streetnoise,"Julie Driscoll, Brian Auger & The Trinity",1969-01-01,0,https://i.scdn.co/image/ab67616d0000b273dc7538e3d72c1e51e8f20715
Jazzanova EP,Jazzanova,1998-08-31,34,https://i.scdn.co/image/ab67616d0000b2735349c9b93009ab55a0048073
To Axion Esti (Remastered 2003),"Mikis Theodorakis, Odisseas Elitis",1964-02-26,10,https://i.scdn.co/image/ab67616d0000b27399460780a6981fa044e6a444
Sinner's Syndrome,Moderator,2018-04-15,35,https://i.scdn.co/image/ab67616d0000b27355a39a08c1f85de0cbd5ba46
The World Within,Moderator,2015-02-19,0,https://i.scdn.co/image/ab67616d0000b27331073ba528a43985280d4dc6
Mode Plagal,Mode Plagal,1995-01-01,1,https://i.scdn.co/image/ab67616d0000b2731c0245be37f5b6130204aa83
Ola Tha Ta Diagrapso,"Giorgos Margaritis, 667",2001-09-18,4,https://i.scdn.co/image/ab67616d0000b273a6108258dec9528e9efc7f62
City of the Sun,City of the Sun,2020-06-26,34,https://i.scdn.co/image/ab67616d0000b2731eea8eaf9ef78ff2724d01a2
...Mia Varka Gia Na Pas Apenadi,Giannis Parios,2002-07-23,35,https://i.scdn.co/image/ab67616d0000b27362bd65a2a06ae04f256f9733
Κουλέρ Λοκάλ,Couleur Locale,2016-03-18,6,https://i.scdn.co/image/ab67616d0000b2731d700ef281a43bc506d12d96
Back To Black (Deluxe Edition),Amy Winehouse,2006,77,https://i.scdn.co/image/ab67616d0000b27376ffb5b5ab045d22c81235c1
Last Frontier,Ours Samplus,2018-06-11,32,https://i.scdn.co/image/ab67616d0000b273a7281c91b40748bae6deb07e
A Saucerful Of Secrets (2011 Remaster),Pink Floyd,1968-06-28,18,https://i.scdn.co/image/ab67616d0000b2739d70d746266f678b2885d58a
There Is No End,Tony Allen,2021-05-07,20,https://i.scdn.co/image/ab67616d0000b273e8e2fd335d8503ec87847b0c
The Diary Of Alicia Keys,Alicia Keys,2003-12-02,69,https://i.scdn.co/image/ab67616d0000b27356ff19308ebeb48e2ba6094b
Eikones Paidevoun To Myalo (Icons Playings Games With My Mind),Dourdoubakis Petros,2000,5,https://i.scdn.co/image/ab67616d0000b2736ede482500a63b58790d2e55
To Hamogelo Tis Tzokodas,Manos Hadjidakis,2015-11-27,19,https://i.scdn.co/image/ab67616d0000b273958139b471deebf8f93080fa
"Anicca (feat. Costis Christodoulou, Andreas Hourdakis, Antonis Maratos, Alex Drakos Ktistakis)",Andreas Polyzogopoulos,2015-03-18,2,https://i.scdn.co/image/ab67616d0000b273c1b6d974195bb08565aea68e
Secrecy,"Diederik Wissels, Ana Rocha, Andreas Polyzogopoulos",2020-09-18,2,https://i.scdn.co/image/ab67616d0000b273e8d15d46299f48087821b3e1
Supersantos,Mannarino,2011-01-01,42,https://i.scdn.co/image/ab67616d0000b2733954001ba6f75f173f26dce3
Things Fall Apart,The Roots,1999-02-23,56,https://i.scdn.co/image/ab67616d0000b273bac8015c7e47644fb86e27e2
The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),David Bowie,1972-06-06,68,https://i.scdn.co/image/ab67616d0000b273c41f4e1133b0e6c5fcf58680
Dreams,Gábor Szabó,1968-09-18,16,https://i.scdn.co/image/ab67616d0000b273c96ae99cc4b59b9482b6edd7
Night in L' Habana,"Yoel Soto, Latin All Stars Meeting Orchestra",2020-11-26,0,https://i.scdn.co/image/ab67616d0000b273f55f2bf6a59d4f0d7229ca47
Migration,Bonobo,2017-01-13,52,https://i.scdn.co/image/ab67616d0000b27355fa09a768d1ef5ea5d279f9
Shadow Work,Mammal Hands,2017-11-03,0,https://i.scdn.co/image/ab67616d0000b273596d091590937d8870551a7d
It's a Holiday Soul Party,Sharon Jones & The Dap-Kings,2015-10-20,0,https://i.scdn.co/image/ab67616d0000b273110ce5371be81cf3a58b6efa
